,text,pre,truth
0,《骑士之爱与游吟诗人》是上海社会科学院出版社2012年出版的图书，作者是英国的 菲奥娜·斯沃比,"[('骑 士 之 爱 与 游 吟 诗 人', '上 海 社 会 科 学 院 出 版 社', 12), ('骑 士 之 爱 与 游 吟 诗 人', '菲 奥 娜 · 斯 沃 比', 11)]","[('骑 士 之 爱 与 游 吟 诗 人', '上 海 社 会 科 学 院 出 版 社', 12), ('骑 士 之 爱 与 游 吟 诗 人', '菲 奥 娜 · 斯 沃 比', 11)]"
1,2011年，担任爱情片《失恋33天》的编剧，该片改编自鲍鲸鲸的同名小说，由文章、白百何共同主演6,"[('失 恋 33 天', '白 百 何', 13), ('失 恋 33 天', '文 章', 13)]","[('失 恋 33 天', '鲍 鲸 鲸', 11), ('失 恋 33 天', '白 百 何', 13), ('失 恋 33 天', '文 章', 13)]"
2,邢富业，男，汉族，1963年1月出生，祖籍山东省莱芜市，现工作于山东能源新汶矿业集团协庄煤矿,"[('邢 富 业', '汉 族', 3)]","[('邢 富 业', '1963 年 1 月', 4), ('邢 富 业', '山 东 省 莱 芜 市', 2), ('邢 富 业', '汉 族', 3)]"
3,史岳，中国新锐摄影师，以拍摄写意风格的电影著称，毕业于北京电影学院摄影系，曾拍摄近百部电影、电视剧、广告作品,"[('史 岳', '中 国', 1), ('史 岳', '北 京 电 影 学 院', 5)]","[('史 岳', '中 国', 1), ('史 岳', '北 京 电 影 学 院', 5)]"
4,刘冬元，(1953－1992)中共党员，祁阳县凤凰乡凤凰村人，1953年11月出生，1969年参加工作，先后任凤凰公社话务员、广播员，上司源乡中学副校长，白果市乡中学校长、辅导区主任、金洞学区业务专干、百里乡人民政府纪检员,"[('刘 冬 元', '祁 阳 县 凤 凰 乡 凤 凰 村', 2), ('刘 冬 元', '1953 年 11 月', 4)]","[('刘 冬 元', '祁 阳 县 凤 凰 乡 凤 凰 村', 2), ('刘 冬 元', '1953 年 11 月', 4)]"
5,《铁杉树丛第三季》是由伊莱·罗斯执导，法米克·詹森/比尔·斯卡斯加德/兰登·莱伯隆/卡内赫迪奥·霍恩/乔尔·德·拉·冯特等主演的电视剧，于2015年开播,"[('铁 杉 树 丛 第 三 季', '伊 莱 · 罗 斯', 14)]","[('铁 杉 树 丛 第 三 季', '比 尔 · 斯 卡 斯 加 德', 13), ('铁 杉 树 丛 第 三 季', '法 米 克 · 詹 森', 13), ('铁 杉 树 丛 第 三 季', '伊 莱 · 罗 斯', 14)]"
6,《爱人们的故事》是全基尚导演，裴勇俊、李英爱、李慧英等主演的18集爱情类型的电视剧,"[('爱 人 们 的 故 事', '全 基 尚', 14)]","[('爱 人 们 的 故 事', '李 英 爱', 13), ('爱 人 们 的 故 事', '李 慧 英', 13), ('爱 人 们 的 故 事', '全 基 尚', 14), ('爱 人 们 的 故 事', '裴 勇 俊', 13)]"
7,基本资料　　歌曲名称：为你叫好1歌手：吕薇　　所属专辑：《但愿人长久》歌词　　歌手：吕薇　　词：清风 曲：刘青,"[('为 你 叫 好', '刘 青', 9), ('为 你 叫 好', '清 风', 8), ('为 你 叫 好', '但 愿 人 长 久', 7), ('为 你 叫 好', '吕 薇', 6)]","[('为 你 叫 好', '刘 青', 9), ('为 你 叫 好', '清 风', 8), ('为 你 叫 好', '但 愿 人 长 久', 7), ('为 你 叫 好', '吕 薇', 6)]"
8,彭涛，男，1969年8月出生，汉族，籍贯湖北武汉，湖北省委党校研究生学历，1991年7月参加工作，1993年4月加入中国共产党,"[('彭 涛', '汉', 3), ('彭 涛', '湖 北 省 委 党 校', 5)]","[('彭 涛', '汉 族', 3), ('彭 涛', '中 国', 1), ('彭 涛', '湖 北 武 汉', 2), ('彭 涛', '1969 年 8 月', 4)]"
9,《上帝创造女人》是罗杰·瓦迪姆执导的粉红浪漫爱情影片，由碧姬·芭铎和简-路易斯·特林提格南特参加演出,"[('上 帝 创 造 女 人', '罗 杰 · 瓦 迪 姆', 14)]","[('上 帝 创 造 女 人', '简 - 路 易 斯 · 特 林 提 格 南 特', 13), ('上 帝 创 造 女 人', '罗 杰 · 瓦 迪 姆', 14), ('上 帝 创 造 女 人', '碧 姬 · 芭 铎', 13)]"
10,《现代性中国》是2005年5月由河南大学出版社出版的图书，作者是张颐武,"[('现 代 性 中 国', '河 南 大 学 出 版 社', 12)]","[('现 代 性 中 国', '河 南 大 学 出 版 社', 12), ('现 代 性 中 国', '张 颐 武', 11)]"
11,《刘向评传》出版于2005年，是由南京大学出版社出版的一本传主为刘向的传记，作者是南京大学文学院院长徐兴无教授，该书同时也是南京大学出版社出版的中国思想家评传丛书中的一本,"[('刘 向 评 传', '南 京 大 学 出 版 社', 12)]","[('刘 向 评 传', '南 京 大 学 出 版 社', 12), ('刘 向 评 传', '徐 兴 无', 11)]"
12,《高中生必背古文》是2002年湖南师范大学出版社出版的图书，作者是周红,"[('高 中 生 必 背 古 文', '周 红', 11), ('高 中 生 必 背 古 文', '湖 南 师 范 大 学 出 版 社', 12)]","[('高 中 生 必 背 古 文', '周 红', 11), ('高 中 生 必 背 古 文', '湖 南 师 范 大 学 出 版 社', 12)]"
13,《防守孤单》是歌手孙楠的一首歌曲，收录于《燃烧》专辑中,"[('防 守 孤 单', '燃 烧', 7), ('防 守 孤 单', '孙 楠', 6)]","[('防 守 孤 单', '燃 烧', 7), ('防 守 孤 单', '孙 楠', 6)]"
14,钱海红，男，创意青年， 1992年生， 汉族 ，毕业于南京十二中,"[('钱 海 红', '汉 族', 3)]","[('钱 海 红', '1992 年', 4), ('钱 海 红', '汉 族', 3), ('钱 海 红', '南 京 十 二 中', 5)]"
15,2008年，卢星宇与周海媚主演警匪题材电视剧《生死对峙》，剧中饰演为达目的不惜一切代价的大毒枭肖雄17,"[('生 死 对 峙', '周 海 媚', 13), ('生 死 对 峙', '卢 星 宇', 13)]","[('生 死 对 峙', '周 海 媚', 13), ('生 死 对 峙', '卢 星 宇', 13)]"
16,电视剧《我爱我家》是由英达导演，梁左编剧，宋丹丹、文兴宇、杨立新等众多演员担任主演的家庭情景喜剧，是中国大陆第一部情景喜剧,"[('我 爱 我 家', '英 达', 14)]","[('我 爱 我 家', '杨 立 新', 13), ('我 爱 我 家', '文 兴 宇', 13), ('我 爱 我 家', '宋 丹 丹', 13), ('我 爱 我 家', '英 达', 14)]"
