,text,pre,truth
0,《欧阳询九成宫醴泉铭-墨点字帖传世碑帖精选六》是2011年湖北美术出版社出版的图书，作者是墨点字帖,"[('欧 阳 询 九 成 宫 醴 泉 铭 - 墨 点 字 帖 传 世 碑 帖 精 选 六', '湖 北 美 术', 12)]","[('欧 阳 询 九 成 宫 醴 泉 铭 - 墨 点 字 帖 传 世 碑 帖 精 选 六', '墨 点 字 帖', 11), ('欧 阳 询 九 成 宫 醴 泉 铭 - 墨 点 字 帖 传 世 碑 帖 精 选 六', '湖 北 美 术', 12)]"
1,《冰波童话·阿笨猫贝塔星球传之请恐龙吃饭》是2012-7出版的图书，作者是冰波,"[('冰 波 童 话 · 阿 笨 猫 贝 塔 星 球 传 之 请 恐 龙 吃 饭', '冰 波', 11)]","[('冰 波 童 话 · 阿 笨 猫 贝 塔 星 球 传 之 请 恐 龙 吃 饭', '冰 波', 11)]"
2,《红颜为谁醉》是连载在起点中文网的小说，作者是红颜为谁醉01,"[('红 颜 为 谁 醉', '起 点 中 文 网', 10)]","[('红 颜 为 谁 醉', '起 点 中 文 网', 10), ('红 颜 为 谁 醉', '红 颜 为 谁 醉 01', 11)]"
3,《叶圣陶散文选集》是2004年百花文艺出版社出版的图书，作者是叶圣陶,"[('叶 圣 陶 散 文 选 集', '百 花 文 艺 出 版 社', 12), ('叶 圣 陶 散 文 选 集', '叶 圣 陶', 11)]","[('叶 圣 陶 散 文 选 集', '百 花 文 艺 出 版 社', 12), ('叶 圣 陶 散 文 选 集', '叶 圣 陶', 11)]"
4,《杨红太油画写生》是2004年福建美术出版社出版的书籍，作者是杨红太,"[('杨 红 太 油 画 写 生', '福 建 美 术 出 版 社', 12), ('杨 红 太 油 画 写 生', '杨 红 太', 11)]","[('杨 红 太 油 画 写 生', '福 建 美 术 出 版 社', 12), ('杨 红 太 油 画 写 生', '杨 红 太', 11)]"
5,《叶灵凤文集(1)》由花城出版社出版的图书，作者是叶灵凤,"[('叶 灵 凤 文 集 ( 1 )', '花 城 出 版 社', 12)]","[('叶 灵 凤 文 集 ( 1 )', '叶 灵 凤', 11), ('叶 灵 凤 文 集 ( 1 )', '花 城 出 版 社', 12)]"
6,《信仰》一曲是标准的哲式情歌，“爱是一种信仰”，把爱提到一种无上的境界,"[('信 仰', '标 准', 6)]","[('信 仰', '《 信 仰 》', 7)]"
7,《谢昭然最新钢笔字帖系列》是2010年西南财经大学出版社出版的图书，作者是谢昭然,"[('谢 昭 然 最 新 钢 笔 字 帖 系 列', '西 南 财 经 大 学 出 版 社', 12), ('谢 昭 然 最 新 钢 笔 字 帖 系 列', '谢 昭 然', 11)]","[('谢 昭 然 最 新 钢 笔 字 帖 系 列', '西 南 财 经 大 学 出 版 社', 12), ('谢 昭 然 最 新 钢 笔 字 帖 系 列', '谢 昭 然', 11)]"
8,《第几个100天》是林俊杰演唱的歌曲，由姚若龙作词，林俊杰作曲，首发于2009年12月2日1，收录在林俊杰2009年12月18日推出的专辑《100天》中,"[('第 几 个 100 天', '姚 若 龙', 8)]","[('第 几 个 100 天', '100 天', 7), ('第 几 个 100 天', '林 俊 杰', 6), ('第 几 个 100 天', '姚 若 龙', 8), ('第 几 个 100 天', '林 俊 杰', 9)]"
9,《雨中的人生\：周作人人生随笔集》是2001年1月由湖南文艺出版社出版的图书，作者是周作人,"[('雨 中 的 人 生 \\ ： 周 作 人 人 生 随 笔 集', '周 作 人', 11), ('雨 中 的 人 生 \\ ： 周 作 人 人 生 随 笔 集', '湖 南 文 艺 出 版 社', 12)]","[('雨 中 的 人 生 \\ ： 周 作 人 人 生 随 笔 集', '周 作 人', 11), ('雨 中 的 人 生 \\ ： 周 作 人 人 生 随 笔 集', '湖 南 文 艺 出 版 社', 12)]"
