,text,pre,truth
0,2011年，担任爱情片《失恋33天》的编剧，该片改编自鲍鲸鲸的同名小说，由文章、白百何共同主演6,"[('失 恋 33 天', '白 百 何', 13), ('失 恋 33 天', '文 章', 13)]","[('失 恋 33 天', '白 百 何', 13), ('失 恋 33 天', '文 章', 13), ('失 恋 33 天', '鲍 鲸 鲸', 11)]"
1,邢富业，男，汉族，1963年1月出生，祖籍山东省莱芜市，现工作于山东能源新汶矿业集团协庄煤矿,"[('邢 富 业', '汉 族', 3)]","[('邢 富 业', '汉 族', 3), ('邢 富 业', '山 东 省 莱 芜 市', 2), ('邢 富 业', '1963 年 1 月', 4)]"
2,《铁杉树丛第三季》是由伊莱·罗斯执导，法米克·詹森/比尔·斯卡斯加德/兰登·莱伯隆/卡内赫迪奥·霍恩/乔尔·德·拉·冯特等主演的电视剧，于2015年开播,"[('铁 杉 树 丛 第 三 季', '伊 莱 · 罗 斯', 14)]","[('铁 杉 树 丛 第 三 季', '法 米 克 · 詹 森', 13), ('铁 杉 树 丛 第 三 季', '比 尔 · 斯 卡 斯 加 德', 13), ('铁 杉 树 丛 第 三 季', '伊 莱 · 罗 斯', 14)]"
3,《上帝创造女人》是罗杰·瓦迪姆执导的粉红浪漫爱情影片，由碧姬·芭铎和简-路易斯·特林提格南特参加演出,"[('上 帝 创 造 女 人', '罗 杰 · 瓦 迪 姆', 14)]","[('上 帝 创 造 女 人', '碧 姬 · 芭 铎', 13), ('上 帝 创 造 女 人', '罗 杰 · 瓦 迪 姆', 14), ('上 帝 创 造 女 人', '简 - 路 易 斯 · 特 林 提 格 南 特', 13)]"
4,钱海红，男，创意青年， 1992年生， 汉族 ，毕业于南京十二中,"[('钱 海 红', '汉 族', 3), ('钱 海 红', '1992 年', 4)]","[('钱 海 红', '汉 族', 3), ('钱 海 红', '南 京 十 二 中', 5), ('钱 海 红', '1992 年', 4)]"
5,天津市财政局（天津市地方税务局）副局长、党组成员  个人简历：  张家林，女，汉族，1951年10月出生，天津市人，中共党员，大学普通班学历，现任天津市财政局（天津市地方税务局）副局长、党组成员,"[('张 家 林', '天 津 市', 2), ('张 家 林', '1951 年 10 月', 4), ('张 家 林', '汉 族', 3)]","[('张 家 林', '天 津 市', 2), ('张 家 林', '1951 年 10 月', 4), ('张 家 林', '汉 族', 3)]"
6,王锦丰 男，汉族，1930年12月出生，河北省乐亭县人,"[('王 锦 丰', '汉 族', 3)]","[('王 锦 丰', '汉 族', 3), ('王 锦 丰', '河 北 省 乐 亭 县', 2), ('王 锦 丰', '1930 年 12 月', 4)]"
7,简介李克熙，男，汉族，四川蒲江县人，1929年11月生，大学肄业，高级政工师任职资格，民革党员,"[('李 克 熙', '汉 族', 3)]","[('李 克 熙', '汉 族', 3), ('李 克 熙', '1929 年 11 月', 4), ('李 克 熙', '四 川 蒲 江 县', 2)]"
8,《对峙》是由张夷非执导的一部电视剧，由程煜、王奎荣等主演,"[('对 峙', '王 奎 荣', 13), ('对 峙', '张 夷 非', 14), ('对 峙', '程 煜', 13)]","[('对 峙', '程 煜', 13), ('对 峙', '张 夷 非', 14), ('对 峙', '王 奎 荣', 13)]"
9,原标题：给你展现下雷佳音的“怂萌”，太乖巧了雷佳音，1983年8月29日出生于辽宁省鞍山市，中国内地影视男演员，毕业于上海戏剧学院表演系,"[('雷 佳 音', '上 海 戏 剧 学 院', 5)]","[('雷 佳 音', '辽 宁 省 鞍 山 市', 2), ('雷 佳 音', '1983 年 8 月 29 日', 4), ('雷 佳 音', '上 海 戏 剧 学 院 表 演 系', 5)]"
10,人物简介崔显琦，男，汉族，1957年3月出生，湖北恩施人，大专文化，人物经历1983年12月招聘为恩施市崔坝镇公社干部,"[('崔 显 琦', '汉 族', 3), ('崔 显 琦', '1957 年 3 月', 4), ('崔 显 琦', '湖 北 恩 施', 2)]","[('崔 显 琦', '湖 北 恩 施', 2), ('崔 显 琦', '1957 年 3 月', 4), ('崔 显 琦', '汉 族', 3)]"
11,卫强，男，汉族，河南宜阳人，1965年3月出生，1990年7月参加工作，研究生学历，工学学士，高级审计师，1996年12月加入中国共产党,"[('卫 强', '1965 年 3 月', 4), ('卫 强', '河 南 宜 阳', 2), ('卫 强', '汉 族', 3)]","[('卫 强', '1965 年 3 月', 4), ('卫 强', '河 南 宜 阳', 2), ('卫 强', '汉 族', 3)]"
12,《爱情来点赞》是歌手张可儿演唱的歌曲，由王德清填词，李青谱曲，阿冷编曲，该歌曲2014年6月3日发行,"[('爱 情 来 点 赞', '王 德 清', 8), ('爱 情 来 点 赞', '李 青', 9)]","[('爱 情 来 点 赞', '张 可 儿', 6), ('爱 情 来 点 赞', '王 德 清', 8), ('爱 情 来 点 赞', '李 青', 9)]"
13,邓大球1，男，土家族，1955年5月出生，湖南慈利县人，1975年9月参加工作，大专文化，现任慈利县政协副主席、县工商业联合会会长、总商会会长,"[('邓 大 球', '1955 年 5 月', 4), ('邓 大 球', '土 家 族', 3), ('邓 大 球', '湖 南 慈 利 县', 2)]","[('邓 大 球', '1955 年 5 月', 4), ('邓 大 球', '土 家 族', 3), ('邓 大 球', '湖 南 慈 利 县', 2)]"
14,覃华军，男，1971年6月出生，壮族，籍贯广西河池，出生地广西河池，1999年7月加入中国共产党，1991年7月参加工作，中央党校在职大学学历,"[('覃 华 军', '壮 族', 3)]","[('覃 华 军', '广 西 河 池', 2), ('覃 华 军', '1971 年 6 月', 4), ('覃 华 军', '壮 族', 3)]"
15,个人简介黄和，男，壮族，1973年10月出生，广西靖西人，在职大学学历，1995年7月参加工作，1994年5月加入中国共产党，现任百色市委维护稳定工作领导小组办公室专职副主任（副处级），拟提任副处级领导职务,"[('黄 和', '广 西 靖 西', 2), ('黄 和', '壮 族', 3), ('黄 和', '1973 年 10 月', 4)]","[('黄 和', '广 西 靖 西', 2), ('黄 和', '壮 族', 3), ('黄 和', '1973 年 10 月', 4)]"
16,《期货投资入门与技巧》是2007年经济管理出版社出版的图书，作者是武玫，李卫东，王哲晗,"[('期 货 投 资 入 门 与 技 巧', '经 济 管 理', 12)]","[('期 货 投 资 入 门 与 技 巧', '武 玫', 11), ('期 货 投 资 入 门 与 技 巧', '李 卫 东', 11), ('期 货 投 资 入 门 与 技 巧', '经 济 管 理 出 版 社', 12)]"
17,胡显发，男，1977年2月出生，汉族，重庆市奉节县人，1998年1月加入中国共产党，研究生毕业，硕士学位，2003年7月参加工作并分配至朝阳法院，历任书记员、助理审判员、团委书记，曾任北京市朝阳区人民法院团委书记，副科级助理审判员,"[('胡 显 发', '汉 族', 3), ('胡 显 发', '重 庆 市 奉 节 县', 2), ('胡 显 发', '1977 年 2 月', 4)]","[('胡 显 发', '汉 族', 3), ('胡 显 发', '重 庆 市 奉 节 县', 2), ('胡 显 发', '1977 年 2 月', 4)]"
18,《中医妇科治疗大成》是1997年河北科技出版社出版的图书，作者是郭志强，张宗芳,"[('中 医 妇 科 治 疗 大 成', '张 宗 芳', 11), ('中 医 妇 科 治 疗 大 成', '郭 志 强', 11), ('中 医 妇 科 治 疗 大 成', '河 北 科 技 出 版 社', 12)]","[('中 医 妇 科 治 疗 大 成', '郭 志 强', 11), ('中 医 妇 科 治 疗 大 成', '张 宗 芳', 11), ('中 医 妇 科 治 疗 大 成', '河 北 科 技 出 版 社', 12)]"
