,text,pre,truth
0,张超是当今时代传唱率最高的词曲作者，尤其是《最炫民族风》的普及度仅次于国歌13，被媒体誉为“金曲狂人”，网民则惊叹为“神曲教父”,"[('最 炫 民 族 风', '张 超', 9)]","[('最 炫 民 族 风', '张 超', 9), ('最 炫 民 族 风', '张 超', 8)]"
1,《秦俑》是林冠吟演唱的一首歌曲，收录在专辑《我是火星人》，由余一霞作词，林冠吟谱曲,"[('秦 俑', '余 一 霞', 8), ('秦 俑', '林 冠 吟', 9)]","[('秦 俑', '我 是 火 星 人', 7), ('秦 俑', '林 冠 吟', 6), ('秦 俑', '余 一 霞', 8), ('秦 俑', '林 冠 吟', 9)]"
2,刘忻在录制《两道彩虹》时，由于是自己作曲的歌曲，所以录制过程比较顺利，唱了两遍就完全进入状态3,"[('两 道 彩 虹', '刘 忻', 9), ('两 道 彩 虹', '刘 忻', 6)]","[('两 道 彩 虹', '刘 忻', 9), ('两 道 彩 虹', '刘 忻', 6)]"
3,无与伦比的美丽，《无与伦比的美丽》是由吴青峰作词、作曲，苏打绿演唱的歌曲，收录于同名专辑《无与伦比的美丽》里,"[('无 与 伦 比 的 美 丽', '吴 青 峰', 8), ('无 与 伦 比 的 美 丽', '吴 青 峰', 9)]","[('无 与 伦 比 的 美 丽', '苏 打 绿', 6), ('无 与 伦 比 的 美 丽', '吴 青 峰', 8), ('无 与 伦 比 的 美 丽', '吴 青 峰', 9)]"
4,《越爱越强》是张杰演唱的歌曲，由张简君伟作词、作曲1，收入在黑色勇气《越爱越强》中，发行于2016-08-201,"[('越 爱 越 强', '张 简 君 伟', 9), ('越 爱 越 强', '张 杰', 6), ('越 爱 越 强', '张 简 君 伟', 8)]","[('越 爱 越 强', '张 简 君 伟', 9), ('越 爱 越 强', '张 杰', 6), ('越 爱 越 强', '张 简 君 伟', 8)]"
5,《你不再爱我》是由高志远填词谱曲，由蔡妍演唱的一首歌曲,"[('你 不 再 爱 我', '高 志 远', 9), ('你 不 再 爱 我', '蔡 妍', 6), ('你 不 再 爱 我', '高 志 远', 8)]","[('你 不 再 爱 我', '高 志 远', 9), ('你 不 再 爱 我', '蔡 妍', 6), ('你 不 再 爱 我', '高 志 远', 8)]"
6,《错一次就好》是林志颖的音乐作品，杨主德作曲，收录在《期待》专辑中,"[('错 一 次 就 好', '林 志 颖', 6), ('错 一 次 就 好', '期 待', 7)]","[('错 一 次 就 好', '林 志 颖', 6), ('错 一 次 就 好', '期 待', 7), ('错 一 次 就 好', '林 志 颖', 8)]"
7,而后，林俊杰通过努力，创作出许多热门歌曲如《江南》、《一千年以后》、《曹操》、《小酒窝》等至今传唱的音乐,"[('一 千 年 以 后', '林 俊 杰', 9), ('小 酒 窝', '林 俊 杰', 9)]","[('一 千 年 以 后', '林 俊 杰', 9), ('小 酒 窝', '林 俊 杰', 9), ('一 千 年 以 后', '林 俊 杰', 6)]"
8,华语乐坛男歌手邓海伤感方言情歌《永远在一起》全网震撼首发，由谢群担任词曲、李德奎编曲、邓海演唱，可以说此次作品发行后，获得了广大朋友歌迷的喜爱,"[('永 远 在 一 起', '邓 海', 6), ('永 远 在 一 起', '谢 群', 8), ('永 远 在 一 起', '谢 群', 9)]","[('永 远 在 一 起', '邓 海', 6), ('永 远 在 一 起', '谢 群', 8), ('永 远 在 一 起', '谢 群', 9)]"
9,《茫然》是陈珊妮作词作曲并演唱的歌曲，收录于专辑《华盛顿砍倒樱桃树》中,"[('茫 然', '陈 珊 妮', 9), ('茫 然', '华 盛 顿 砍 倒 樱 桃 树', 7), ('茫 然', '陈 珊 妮', 8)]","[('茫 然', '陈 珊 妮', 9), ('茫 然', '陈 珊 妮', 6), ('茫 然', '华 盛 顿 砍 倒 樱 桃 树', 7), ('茫 然', '陈 珊 妮', 8)]"
