,text,pre,truth
0,1997年，李柏光从北京大学法律系博士毕业,"[('李 柏 光', '北 京 大 学', 5)]","[('李 柏 光', '北 京 大 学', 5)]"
1,当《三生三世》4位女星换上现代装：第四，安悦溪在《三生三世十里桃花》中饰演少辛，安悦溪穿上现代装十分亮眼，气质清新脱俗,"[('三 生 三 世', '安 悦 溪', 13), ('三 生 三 世 十 里 桃 花', '安 悦 溪', 13)]","[('三 生 三 世 十 里 桃 花', '安 悦 溪', 13)]"
2,山东海益宝水产股份有限公司成立于2002年，坐落在风景秀丽的中国胶东半岛，是一家以高科技海产品的育苗、养殖、研发、加工、销售为一体的综合性新型产业化水产企业，拥有标准化深海围堰基地，是山东省水产养殖行业的龙头企业之一，同时也是国内日本红参与胶东参杂交参种产业化生产基地,"[('山 东 海 益 宝 水 产 股 份 有 限 公 司', '2002 年', 17)]","[('山 东 海 益 宝 水 产 股 份 有 限 公 司', '2002 年', 17)]"
3,个人生活李佳璇和导演路学长因拍摄《卡拉是条狗》而相识，2003年两人结婚,"[('卡 拉 是 条 狗', '路 学 长', 14)]","[('卡 拉 是 条 狗', '路 学 长', 14)]"
4,谈及张国立，很多人对他演过的《铁齿铜牙纪晓岚》印象最深刻，那是伴着8090后长大的电视剧作品，当然，张国立也有很多其他非常优秀的作品,"[('铁 齿 铜 牙 纪 晓 岚', '张 国 立', 13)]","[('铁 齿 铜 牙 纪 晓 岚', '张 国 立', 13)]"
5,《卫生巾设计师在明朝》是兰陵酷酷生写的网络小说连载于起点中文网,"[('卫 生 巾 设 计 师 在 明 朝', '起 点 中 文 网', 10)]","[('卫 生 巾 设 计 师 在 明 朝', '兰 陵 酷 酷 生', 11)]"
6,深圳市鸿浩鹏科技有限公司创建于2005年，总部坐落在深圳,"[('深 圳 市 鸿 浩 鹏 科 技 有 限 公 司', '2005 年', 17)]","[('深 圳 市 鸿 浩 鹏 科 技 有 限 公 司', '2005 年', 17)]"
7,管劲丞（1896—1966），原名惟爵，又名竟成、静尘等，江苏省如东县人,"[('管 劲 丞', '1896', 4), ('管 劲 丞', '江 苏 省 如 东 县', 2)]","[('管 劲 丞', '江 苏 省 如 东 县', 2)]"
8,《童话精选天鹅湖（光盘）》是于2007年由东方出版社制作发行的光盘,"[('童 话 精 选 天 鹅 湖 （ 光 盘 ）', '东 方 出 版 社', 12)]","[('童 话 精 选 天 鹅 湖 （ 光 盘 ）', '东 方 出 版 社', 12)]"
9,黄教恭，湖南宁乡四都泉塘（即今宁乡县大屯营乡）人，著名爱国抗日将领，属宁乡泉塘黄氏教字辈,"[('黄 教 恭', '湖 南 宁 乡 四 都 泉 塘', 2)]","[('黄 教 恭', '湖 南 宁 乡 四 都 泉 塘', 2)]"
10,应芳（1973年6月—），女，2003年7月毕业于杭师院中文系本科，中学一级教师，语文教师，2000年8月从坎山中学调入该校工作,"[('应 芳', '杭 师 院', 5)]","[('应 芳', '杭 师 院 中 文 系 本 科', 5)]"
11,郭峰，男，山东省临沂市人，中共党员，临沂大学教育学院教授，高等教育科学研究所副所长,"[('郭 峰', '山 东 省 临 沂 市', 2)]","[('郭 峰', '山 东 省 临 沂 市', 2)]"
