,text,pre,truth
0,《爱人们的故事》是全基尚导演，裴勇俊、李英爱、李慧英等主演的18集爱情类型的电视剧,"[('爱 人 们 的 故 事', '全 基 尚', 14)]","[('爱 人 们 的 故 事', '李 慧 英', 13), ('爱 人 们 的 故 事', '裴 勇 俊', 13), ('爱 人 们 的 故 事', '全 基 尚', 14), ('爱 人 们 的 故 事', '李 英 爱', 13)]"
1,基本资料　　歌曲名称：为你叫好1歌手：吕薇　　所属专辑：《但愿人长久》歌词　　歌手：吕薇　　词：清风 曲：刘青,"[('为 你 叫 好', '刘 青', 9), ('为 你 叫 好', '吕 薇', 6), ('为 你 叫 好', '清 风', 8), ('为 你 叫 好', '但 愿 人 长 久', 7)]","[('为 你 叫 好', '刘 青', 9), ('为 你 叫 好', '吕 薇', 6), ('为 你 叫 好', '清 风', 8), ('为 你 叫 好', '但 愿 人 长 久', 7)]"
2,彭涛，男，1969年8月出生，汉族，籍贯湖北武汉，湖北省委党校研究生学历，1991年7月参加工作，1993年4月加入中国共产党,"[('彭 涛', '汉', 3), ('彭 涛', '湖 北 省 委 党 校', 5)]","[('彭 涛', '中 国', 1), ('彭 涛', '湖 北 武 汉', 2), ('彭 涛', '1969 年 8 月', 4), ('彭 涛', '汉 族', 3)]"
3,电视剧《我爱我家》是由英达导演，梁左编剧，宋丹丹、文兴宇、杨立新等众多演员担任主演的家庭情景喜剧，是中国大陆第一部情景喜剧,"[('我 爱 我 家', '英 达', 14)]","[('我 爱 我 家', '宋 丹 丹', 13), ('我 爱 我 家', '文 兴 宇', 13), ('我 爱 我 家', '杨 立 新', 13), ('我 爱 我 家', '英 达', 14)]"
4,《飞虎》是中国香港电视广播有限公司制作的时装警匪电视剧，由马德钟、宣萱领衔主演，林志华监制，制作成本逾千万港元,"[('林 志 华', '中 国', 1)]","[('飞 虎', '马 德 钟', 13), ('飞 虎', '宣 萱', 13), ('飞 虎', '香 港 电 视 广 播 有 限 公 司', 0), ('林 志 华', '中 国', 1)]"
5,徐月焕，男，汉族，1961年7月生，浙江淳安人，无党派，1982年8月参加工作，中央党校大学学历,"[('徐 月 焕', '中 央 党 校', 5), ('徐 月 焕', '汉 族', 3)]","[('徐 月 焕', '中 央 党 校', 5), ('徐 月 焕', '汉 族', 3), ('徐 月 焕', '浙 江 淳 安', 2), ('徐 月 焕', '1961 年 7 月', 4)]"
6,徐祯卿（1479－1511年），字昌谷，一字昌国，汉族，吴县（今江苏苏州）人，祖籍常熟梅李镇，后迁居吴县,"[('徐 祯 卿', '吴 县', 2), ('徐 祯 卿', '汉 族', 3), ('徐 祯 卿', '1479', 4)]","[('徐 祯 卿', '汉 族', 3), ('徐 祯 卿', '吴 县', 2), ('徐 祯 卿', '1479', 4), ('徐 祯 卿', '江 苏', 2)]"
7,《午夜寻访录》是由刘天荣自编自导，沙溢、胡可、李琦、付宏等主演的惊悚电影,"[('午 夜 寻 访 录', '刘 天 荣', 14)]","[('午 夜 寻 访 录', '胡 可', 13), ('午 夜 寻 访 录', '沙 溢', 13), ('午 夜 寻 访 录', '李 琦', 13), ('午 夜 寻 访 录', '刘 天 荣', 14)]"
8,《秦俑》是林冠吟演唱的一首歌曲，收录在专辑《我是火星人》，由余一霞作词，林冠吟谱曲,"[('秦 俑', '余 一 霞', 8), ('秦 俑', '林 冠 吟', 9)]","[('秦 俑', '余 一 霞', 8), ('秦 俑', '林 冠 吟', 9), ('秦 俑', '林 冠 吟', 6), ('秦 俑', '我 是 火 星 人', 7)]"
9,《第一种危机》是王永执导，冯绍峰、李小璐、王庆祥等主演的商业间谍剧,"[('第 一 种 危 机', '王 永', 14)]","[('第 一 种 危 机', '冯 绍 峰', 13), ('第 一 种 危 机', '王 庆 祥', 13), ('第 一 种 危 机', '王 永', 14), ('第 一 种 危 机', '李 小 璐', 13)]"
10,张烈，1938年出生，中国著名孙氏拳武术大师、孙存周先生嫡传弟子，原是北京人氏，后去天津工作，虽身高不过一米六，但体魄健壮，气质不凡，闻其言、观其神，足可证之,"[('张 烈', '1938 年', 4), ('张 烈', '中 国', 1)]","[('张 烈', '1938 年', 4), ('张 烈', '北 京', 2), ('张 烈', '中 国', 1), ('孙 氏', '中 国', 1)]"
11,《百家乐翻天》是由王晶执导，杜汶泽、薛凯琪、罗家英主演的一部喜剧电影,"[('百 家 乐 翻 天', '罗 家 英', 13), ('百 家 乐 翻 天', '王 晶', 14), ('百 家 乐 翻 天', '薛 凯 琪', 13), ('百 家 乐 翻 天', '杜 汶 泽', 13)]","[('百 家 乐 翻 天', '罗 家 英', 13), ('百 家 乐 翻 天', '薛 凯 琪', 13), ('百 家 乐 翻 天', '王 晶', 14), ('百 家 乐 翻 天', '杜 汶 泽', 13)]"
12,《苦菜花》是由王冀邢执导的红色经典电视剧，陈小艺、侯天来，茹萍 等主演12该剧讲述了抗日战争初期，胶东某山区王官庄,"[('苦 菜 花', '王 冀 邢', 14)]","[('苦 菜 花', '侯 天 来', 13), ('苦 菜 花', '茹 萍', 13), ('苦 菜 花', '王 冀 邢', 14), ('苦 菜 花', '陈 小 艺', 13)]"
